"feature","feature_label","pvalue_source","pvalue_name","p.value","p.adj","p.adj.signif","p_text","n","n_patient","test_type"
"Candida_albicans","Candida_albicans","pairwise_level","CD_vs_nonIBD",0.154271880503963,0.585878485879549,"ns","CD_vs_nonIBD: p=0.154, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Candida_albicans","Candida_albicans","pairwise_level","UC_vs_nonIBD",0.450118409771196,0.585878485879549,"ns","UC_vs_nonIBD: p=0.45, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Candida_auris","Candida_auris","pairwise_level","CD_vs_nonIBD",0.771591307500119,0.816979031470714,"ns","CD_vs_nonIBD: p=0.772, FDR=0.817 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Candida_auris","Candida_auris","pairwise_level","UC_vs_nonIBD",0.291773119522242,0.585878485879549,"ns","UC_vs_nonIBD: p=0.292, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Candida_dubliniensis","Candida_dubliniensis","pairwise_level","CD_vs_nonIBD",0.349318220854126,0.585878485879549,"ns","CD_vs_nonIBD: p=0.349, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Candida_dubliniensis","Candida_dubliniensis","pairwise_level","UC_vs_nonIBD",0.22823994227666,0.585878485879549,"ns","UC_vs_nonIBD: p=0.228, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Candida_orthopsilosis","Candida_orthopsilosis","pairwise_level","CD_vs_nonIBD",0.66898493530932,0.752608052222985,"ns","CD_vs_nonIBD: p=0.669, FDR=0.753 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Candida_orthopsilosis","Candida_orthopsilosis","pairwise_level","UC_vs_nonIBD",0.3230617994126,0.585878485879549,"ns","UC_vs_nonIBD: p=0.323, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Debaryomyces_hansenii","Debaryomyces_hansenii","pairwise_level","CD_vs_nonIBD",0.504085466254291,0.604902559505149,"ns","CD_vs_nonIBD: p=0.504, FDR=0.605 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Debaryomyces_hansenii","Debaryomyces_hansenii","pairwise_level","UC_vs_nonIBD",0.384070080864417,0.585878485879549,"ns","UC_vs_nonIBD: p=0.384, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Dekkera_bruxellensis","Dekkera_bruxellensis","pairwise_level","CD_vs_nonIBD",0.469625154228928,0.585878485879549,"ns","CD_vs_nonIBD: p=0.47, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Dekkera_bruxellensis","Dekkera_bruxellensis","pairwise_level","UC_vs_nonIBD",0.42098113971052,0.585878485879549,"ns","UC_vs_nonIBD: p=0.421, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Fusarium_graminearum","Fusarium_graminearum","pairwise_level","CD_vs_nonIBD",0.704535339706821,0.768584006952895,"ns","CD_vs_nonIBD: p=0.705, FDR=0.769 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Fusarium_graminearum","Fusarium_graminearum","pairwise_level","UC_vs_nonIBD",0.382574737972931,0.585878485879549,"ns","UC_vs_nonIBD: p=0.383, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Fusarium_poae","Fusarium_poae","pairwise_level","CD_vs_nonIBD",0.388811852761462,0.585878485879549,"ns","CD_vs_nonIBD: p=0.389, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Fusarium_poae","Fusarium_poae","pairwise_level","UC_vs_nonIBD",0.402573434962557,0.585878485879549,"ns","UC_vs_nonIBD: p=0.403, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Holleya_sinecauda","Holleya_sinecauda","pairwise_level","CD_vs_nonIBD",0.358915716356134,0.585878485879549,"ns","CD_vs_nonIBD: p=0.359, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Holleya_sinecauda","Holleya_sinecauda","pairwise_level","UC_vs_nonIBD",0.361262030857203,0.585878485879549,"ns","UC_vs_nonIBD: p=0.361, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Issatchenkia_orientalis","Issatchenkia_orientalis","pairwise_level","CD_vs_nonIBD",0.833230228786314,0.833230228786314,"ns","CD_vs_nonIBD: p=0.833, FDR=0.833 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Issatchenkia_orientalis","Issatchenkia_orientalis","pairwise_level","UC_vs_nonIBD",0.802778861238544,0.825715400131073,"ns","UC_vs_nonIBD: p=0.803, FDR=0.826 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Kluyveromyces_lactis","Kluyveromyces_lactis","pairwise_level","CD_vs_nonIBD",0.388332087550977,0.585878485879549,"ns","CD_vs_nonIBD: p=0.388, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Kluyveromyces_lactis","Kluyveromyces_lactis","pairwise_level","UC_vs_nonIBD",0.393607074102718,0.585878485879549,"ns","UC_vs_nonIBD: p=0.394, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Kluyveromyces_marxianus","Kluyveromyces_marxianus","pairwise_level","CD_vs_nonIBD",0.471957669180748,0.585878485879549,"ns","CD_vs_nonIBD: p=0.472, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Kluyveromyces_marxianus","Kluyveromyces_marxianus","pairwise_level","UC_vs_nonIBD",0.325311701251052,0.585878485879549,"ns","UC_vs_nonIBD: p=0.325, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Lodderomyces_elongisporus","Lodderomyces_elongisporus","pairwise_level","CD_vs_nonIBD",0.292145767473453,0.585878485879549,"ns","CD_vs_nonIBD: p=0.292, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Lodderomyces_elongisporus","Lodderomyces_elongisporus","pairwise_level","UC_vs_nonIBD",0.253292174504904,0.585878485879549,"ns","UC_vs_nonIBD: p=0.253, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Malassezia_restricta","Malassezia_restricta","pairwise_level","CD_vs_nonIBD",0.0115547222277593,0.415970000199335,"ns","CD_vs_nonIBD: p=0.0116, FDR=0.416 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
